"COVID-19_Season","Week_ID","Current_Season_Week_Ending_Label","MMWR_Week_Order","MMWR_Year","MMWR_Week","MMWR_Day","Setting","Doses","Cumulative_Doses","Location_and_Flu_Season_Order","Current_Through","Age_Group"
"2023-2024","2023 Sep 16 12:00:00 AM","2024 Sep 14 12:00:00 AM","3","2,023","37","7","Physician Medical Office","93","93","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2023 Sep 16 12:00:00 AM","2024 Sep 14 12:00:00 AM","3","2,023","37","7","Physician Medical Office","59","59","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2023 Sep 16 12:00:00 AM","2024 Sep 14 12:00:00 AM","3","2,023","37","7","Physician Medical Office","85","85","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2023 Sep 16 12:00:00 AM","2024 Sep 14 12:00:00 AM","3","2,023","37","7","Physician Medical Office","26","26","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2023 Sep 16 12:00:00 AM","2024 Sep 14 12:00:00 AM","3","2,023","37","7","Physician Medical Office","7","7","38","2025 Apr 12 12:00:00 AM","60-74"
"2023-2024","2023 Sep 16 12:00:00 AM","2024 Sep 14 12:00:00 AM","3","2,023","37","7","Physician Medical Office","8","8","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2023 Sep 16 12:00:00 AM","2024 Sep 14 12:00:00 AM","3","2,023","37","7","Physician Medical Office","4","4","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2023 Sep 23 12:00:00 AM","2024 Sep 21 12:00:00 AM","4","2,023","38","7","Physician Medical Office","12,664","12,757","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2023 Sep 23 12:00:00 AM","2024 Sep 21 12:00:00 AM","4","2,023","38","7","Physician Medical Office","3,819","3,878","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2023 Sep 23 12:00:00 AM","2024 Sep 21 12:00:00 AM","4","2,023","38","7","Physician Medical Office","7,019","7,104","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2023 Sep 23 12:00:00 AM","2024 Sep 21 12:00:00 AM","4","2,023","38","7","Physician Medical Office","3,200","3,226","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2023 Sep 23 12:00:00 AM","2024 Sep 21 12:00:00 AM","4","2,023","38","7","Physician Medical Office","4,096","4,103","38","2025 Apr 12 12:00:00 AM","60-74"
"2023-2024","2023 Sep 23 12:00:00 AM","2024 Sep 21 12:00:00 AM","4","2,023","38","7","Physician Medical Office","5,646","5,654","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2023 Sep 23 12:00:00 AM","2024 Sep 21 12:00:00 AM","4","2,023","38","7","Physician Medical Office","2,975","2,979","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2023 Sep 30 12:00:00 AM","2024 Sep 28 12:00:00 AM","5","2,023","39","7","Physician Medical Office","42,494","55,251","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2023 Sep 30 12:00:00 AM","2024 Sep 28 12:00:00 AM","5","2,023","39","7","Physician Medical Office","13,237","17,115","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2023 Sep 30 12:00:00 AM","2024 Sep 28 12:00:00 AM","5","2,023","39","7","Physician Medical Office","25,732","32,836","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2023 Sep 30 12:00:00 AM","2024 Sep 28 12:00:00 AM","5","2,023","39","7","Physician Medical Office","12,495","15,721","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2023 Sep 30 12:00:00 AM","2024 Sep 28 12:00:00 AM","5","2,023","39","7","Physician Medical Office","14,141","18,244","38","2025 Apr 12 12:00:00 AM","60-74"
"2023-2024","2023 Sep 30 12:00:00 AM","2024 Sep 28 12:00:00 AM","5","2,023","39","7","Physician Medical Office","16,762","22,416","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2023 Sep 30 12:00:00 AM","2024 Sep 28 12:00:00 AM","5","2,023","39","7","Physician Medical Office","7,913","10,892","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2023 Oct 07 12:00:00 AM","2024 Oct 05 12:00:00 AM","6","2,023","40","7","Physician Medical Office","83,629","138,880","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2023 Oct 07 12:00:00 AM","2024 Oct 05 12:00:00 AM","6","2,023","40","7","Physician Medical Office","23,867","40,982","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2023 Oct 07 12:00:00 AM","2024 Oct 05 12:00:00 AM","6","2,023","40","7","Physician Medical Office","48,473","81,309","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2023 Oct 07 12:00:00 AM","2024 Oct 05 12:00:00 AM","6","2,023","40","7","Physician Medical Office","24,606","40,327","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2023 Oct 07 12:00:00 AM","2024 Oct 05 12:00:00 AM","6","2,023","40","7","Physician Medical Office","29,498","47,742","38","2025 Apr 12 12:00:00 AM","60-74"
"2023-2024","2023 Oct 07 12:00:00 AM","2024 Oct 05 12:00:00 AM","6","2,023","40","7","Physician Medical Office","35,155","57,571","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2023 Oct 07 12:00:00 AM","2024 Oct 05 12:00:00 AM","6","2,023","40","7","Physician Medical Office","16,403","27,295","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2023 Oct 14 12:00:00 AM","2024 Oct 12 12:00:00 AM","7","2,023","41","7","Physician Medical Office","131,066","269,946","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2023 Oct 14 12:00:00 AM","2024 Oct 12 12:00:00 AM","7","2,023","41","7","Physician Medical Office","38,043","79,025","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2023 Oct 14 12:00:00 AM","2024 Oct 12 12:00:00 AM","7","2,023","41","7","Physician Medical Office","74,547","155,856","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2023 Oct 14 12:00:00 AM","2024 Oct 12 12:00:00 AM","7","2,023","41","7","Physician Medical Office","36,505","76,832","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2023 Oct 14 12:00:00 AM","2024 Oct 12 12:00:00 AM","7","2,023","41","7","Physician Medical Office","43,934","91,676","38","2025 Apr 12 12:00:00 AM","60-74"
"2023-2024","2023 Oct 14 12:00:00 AM","2024 Oct 12 12:00:00 AM","7","2,023","41","7","Physician Medical Office","56,518","114,089","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2023 Oct 14 12:00:00 AM","2024 Oct 12 12:00:00 AM","7","2,023","41","7","Physician Medical Office","28,611","55,906","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2023 Oct 21 12:00:00 AM","2024 Oct 19 12:00:00 AM","8","2,023","42","7","Physician Medical Office","189,624","459,570","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2023 Oct 21 12:00:00 AM","2024 Oct 19 12:00:00 AM","8","2,023","42","7","Physician Medical Office","52,597","131,622","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2023 Oct 21 12:00:00 AM","2024 Oct 19 12:00:00 AM","8","2,023","42","7","Physician Medical Office","101,573","257,429","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2023 Oct 21 12:00:00 AM","2024 Oct 19 12:00:00 AM","8","2,023","42","7","Physician Medical Office","48,976","125,808","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2023 Oct 21 12:00:00 AM","2024 Oct 19 12:00:00 AM","8","2,023","42","7","Physician Medical Office","60,183","151,859","38","2025 Apr 12 12:00:00 AM","60-74"
"2023-2024","2023 Oct 21 12:00:00 AM","2024 Oct 19 12:00:00 AM","8","2,023","42","7","Physician Medical Office","88,051","202,140","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2023 Oct 21 12:00:00 AM","2024 Oct 19 12:00:00 AM","8","2,023","42","7","Physician Medical Office","49,081","104,987","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2023 Oct 28 12:00:00 AM","2024 Oct 26 12:00:00 AM","9","2,023","43","7","Physician Medical Office","208,519","668,089","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2023 Oct 28 12:00:00 AM","2024 Oct 26 12:00:00 AM","9","2,023","43","7","Physician Medical Office","57,884","189,506","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2023 Oct 28 12:00:00 AM","2024 Oct 26 12:00:00 AM","9","2,023","43","7","Physician Medical Office","111,865","369,294","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2023 Oct 28 12:00:00 AM","2024 Oct 26 12:00:00 AM","9","2,023","43","7","Physician Medical Office","53,981","179,789","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2023 Oct 28 12:00:00 AM","2024 Oct 26 12:00:00 AM","9","2,023","43","7","Physician Medical Office","65,821","217,680","38","2025 Apr 12 12:00:00 AM","60-74"
"2023-2024","2023 Oct 28 12:00:00 AM","2024 Oct 26 12:00:00 AM","9","2,023","43","7","Physician Medical Office","96,653","298,793","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2023 Oct 28 12:00:00 AM","2024 Oct 26 12:00:00 AM","9","2,023","43","7","Physician Medical Office","53,797","158,784","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2023 Nov 04 12:00:00 AM","2024 Nov 02 12:00:00 AM","10","2,023","44","7","Physician Medical Office","191,775","859,864","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2023 Nov 04 12:00:00 AM","2024 Nov 02 12:00:00 AM","10","2,023","44","7","Physician Medical Office","55,905","245,411","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2023 Nov 04 12:00:00 AM","2024 Nov 02 12:00:00 AM","10","2,023","44","7","Physician Medical Office","109,217","478,511","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2023 Nov 04 12:00:00 AM","2024 Nov 02 12:00:00 AM","10","2,023","44","7","Physician Medical Office","53,312","233,101","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2023 Nov 04 12:00:00 AM","2024 Nov 02 12:00:00 AM","10","2,023","44","7","Physician Medical Office","63,934","281,614","38","2025 Apr 12 12:00:00 AM","60-74"
